DOMAIN-SUFFIX,zzkfs.xyz
DOMAIN-SUFFIX,zzkoubei.com
DOMAIN-SUFFIX,zzmmkj.com
DOMAIN-SUFFIX,zzmtfz.com
DOMAIN-SUFFIX,zzot.reseller.wonderfulworldblog.com
DOMAIN-SUFFIX,zzpush.58.com
DOMAIN-SUFFIX,zzpzero.com
DOMAIN-SUFFIX,zzqqhb.com
DOMAIN-SUFFIX,zzrcz.com
DOMAIN-SUFFIX,zzsdjq.com
DOMAIN-SUFFIX,zzsno1.com
DOMAIN-SUFFIX,zzsssy.com
DOMAIN-SUFFIX,zzsx8.com
DOMAIN-SUFFIX,zzwflxs.com
DOMAIN-SUFFIX,zzxedr.xyz
DOMAIN-SUFFIX,zzxmcp.com
DOMAIN-SUFFIX,zzyonghao.com
DOMAIN-SUFFIX,zzz7.52896368.com
DOMAIN-SUFFIX,zzzhuoxiaqu.online
DOMAIN-SUFFIX,zzzzz4.52896368.com
IP-CIDR,202.105.165.202/32,no-resolve
IP-CIDR,202.106.199.34/31,no-resolve
IP-CIDR,202.106.199.36/31,no-resolve
IP-CIDR,202.106.199.38/32,no-resolve
IP-CIDR,202.98.24.121/32,no-resolve
IP-CIDR,202.98.24.122/31,no-resolve
IP-CIDR,202.98.24.124/31,no-resolve
IP-CIDR,202.99.254.230/31,no-resolve
IP-CIDR,202.99.254.232/32,no-resolve
IP-CIDR,203.119.206.64/32,no-resolve
IP-CIDR,203.119.211.219/32,no-resolve
IP-CIDR,203.205.239.44/32,no-resolve
IP-CIDR,203.205.255.16/32,no-resolve
IP-CIDR,205.209.138.102/32,no-resolve
IP-CIDR,211.103.159.32/32,no-resolve
IP-CIDR,211.136.113.1/32,no-resolve
IP-CIDR,211.137.130.101/32,no-resolve
IP-CIDR,211.137.132.89/32,no-resolve
IP-CIDR,211.138.102.198/32,no-resolve
IP-CIDR,211.138.74.132/32,no-resolve
IP-CIDR,211.139.136.73/32,no-resolve
IP-CIDR,211.139.178.49/32,no-resolve
IP-CIDR,211.149.225.23/32,no-resolve
IP-CIDR,211.161.101.106/32,no-resolve
IP-CIDR,211.161.101.110/32,no-resolve
IP-CIDR,211.167.105.131/32,no-resolve
IP-CIDR,211.98.70.226/31,no-resolve
IP-CIDR,211.98.71.195/32,no-resolve
IP-CIDR,218.25.246.118/32,no-resolve
IP-CIDR,218.28.144.36/30,no-resolve
IP-CIDR,218.28.144.40/31,no-resolve
IP-CIDR,218.28.144.42/32,no-resolve
IP-CIDR,218.30.64.194/32,no-resolve
IP-CIDR,218.68.250.117/32,no-resolve
IP-CIDR,218.68.250.118/31,no-resolve
IP-CIDR,218.68.250.120/31,no-resolve
IP-CIDR,218.93.127.37/32,no-resolve
IP-CIDR,219.146.13.36/32,no-resolve
IP-CIDR,219.234.83.60/32,no-resolve
IP-CIDR,220.115.251.25/32,no-resolve
IP-CIDR,220.165.8.172/32,no-resolve
IP-CIDR,220.165.8.174/32,no-resolve
IP-CIDR,220.196.52.141/32,no-resolve
IP-CIDR,220.250.64.18/31,no-resolve
IP-CIDR,220.250.64.20/30,no-resolve
IP-CIDR,220.250.64.225/32,no-resolve
IP-CIDR,220.250.64.226/31,no-resolve
IP-CIDR,220.250.64.228/32,no-resolve
IP-CIDR,220.250.64.24/30,no-resolve
IP-CIDR,220.250.64.28/31,no-resolve
IP-CIDR,220.250.64.30/32,no-resolve
IP-CIDR,221.179.131.72/32,no-resolve
IP-CIDR,221.179.140.0/24,no-resolve
IP-CIDR,221.179.183.0/24,no-resolve
IP-CIDR,221.179.191.0/24,no-resolve
IP-CIDR,221.179.46.190/32,no-resolve
IP-CIDR,221.179.46.194/32,no-resolve
IP-CIDR,221.192.153.41/32,no-resolve
IP-CIDR,221.192.153.42/31,no-resolve
IP-CIDR,221.192.153.44/31,no-resolve
IP-CIDR,221.192.153.46/32,no-resolve
IP-CIDR,221.192.153.49/32,no-resolve
IP-CIDR,221.204.213.222/32,no-resolve
IP-CIDR,221.204.244.36/30,no-resolve
IP-CIDR,221.204.244.40/31,no-resolve
IP-CIDR,221.228.17.152/32,no-resolve
IP-CIDR,221.228.214.101/32,no-resolve
IP-CIDR,221.231.6.79/32,no-resolve
IP-CIDR,221.6.4.148/32,no-resolve
IP-CIDR,222.186.61.91/32,no-resolve
IP-CIDR,222.186.61.95/32,no-resolve
IP-CIDR,222.186.61.96/31,no-resolve
IP-CIDR,222.187.226.96/32,no-resolve
IP-CIDR,222.221.5.204/32,no-resolve
IP-CIDR,222.221.5.252/31,no-resolve
IP-CIDR,222.73.156.235/32,no-resolve
IP-CIDR,223.6.255.99/32,no-resolve
IP-CIDR,223.82.248.117/32,no-resolve
IP-CIDR,223.87.176.139/32,no-resolve
IP-CIDR,223.87.176.176/32,no-resolve
IP-CIDR,223.87.177.180/32,no-resolve
IP-CIDR,223.87.177.182/32,no-resolve
IP-CIDR,223.87.177.184/32,no-resolve
IP-CIDR,223.87.177.43/32,no-resolve
IP-CIDR,223.87.177.47/32,no-resolve
IP-CIDR,223.87.177.80/32,no-resolve
IP-CIDR,223.87.182.101/32,no-resolve
IP-CIDR,223.87.182.102/32,no-resolve
IP-CIDR,223.87.182.11/32,no-resolve
IP-CIDR,223.87.182.52/32,no-resolve
IP-CIDR,23.202.231.167/32,no-resolve
IP-CIDR,23.217.138.108/32,no-resolve
IP-CIDR,23.235.156.167/32,no-resolve
IP-CIDR,23.42.186.24/32,no-resolve
IP-CIDR,23.66.147.48/32,no-resolve
IP-CIDR,27.255.67.120/32,no-resolve
IP-CIDR,35.194.26.233/32,no-resolve
IP-CIDR,35.239.57.233/32,no-resolve
IP-CIDR,39.107.15.115/32,no-resolve
IP-CIDR,42.123.125.237/32,no-resolve
IP-CIDR,42.51.146.207/32,no-resolve
IP-CIDR,45.32.105.134/32,no-resolve
IP-CIDR,45.34.240.72/32,no-resolve
IP-CIDR,46.165.197.153/32,no-resolve
IP-CIDR,46.165.197.231/32,no-resolve
IP-CIDR,47.89.59.182/32,no-resolve
IP-CIDR,47.90.50.177/32,no-resolve
IP-CIDR,47.93.103.196/32,no-resolve
IP-CIDR,47.94.89.32/32,no-resolve
IP-CIDR,47.96.162.122/32,no-resolve
IP-CIDR,58.215.179.159/32,no-resolve
IP-CIDR,58.221.28.166/32,no-resolve
IP-CIDR,60.19.29.21/32,no-resolve
IP-CIDR,60.19.29.22/31,no-resolve
IP-CIDR,60.19.29.24/30,no-resolve
IP-CIDR,60.190.139.164/32,no-resolve
IP-CIDR,60.191.124.196/32,no-resolve
IP-CIDR,60.191.124.236/32,no-resolve
IP-CIDR,60.191.124.252/32,no-resolve
IP-CIDR,61.129.70.132/32,no-resolve
IP-CIDR,61.131.208.210/31,no-resolve
IP-CIDR,61.132.216.232/32,no-resolve
IP-CIDR,61.132.221.146/32,no-resolve
IP-CIDR,61.132.255.212/32,no-resolve
IP-CIDR,61.139.8.101/32,no-resolve
IP-CIDR,61.139.8.102/31,no-resolve
IP-CIDR,61.139.8.104/32,no-resolve
IP-CIDR,61.147.184.18/32,no-resolve
IP-CIDR,61.152.223.15/32,no-resolve
IP-CIDR,61.160.200.223/32,no-resolve
IP-CIDR,61.160.200.242/32,no-resolve
IP-CIDR,61.160.200.252/32,no-resolve
IP-CIDR,61.174.50.214/32,no-resolve
IP-CIDR,61.183.1.186/32,no-resolve
IP-CIDR,61.191.12.74/32,no-resolve
IP-CIDR,61.191.206.4/32,no-resolve
IP-CIDR,67.229.224.28/32,no-resolve
IP-CIDR,69.28.57.245/32,no-resolve
IP-CIDR,74.117.182.77/32,no-resolve
IP-CIDR,77.162.125.199/32,no-resolve
IP-CIDR,78.140.131.214/32,no-resolve
IP-CIDR6,2402:4e00:1200:ed00:0:9089:6dac:96b6/128,no-resolve
PROCESS-NAME,LemonAgent
PROCESS-NAME,LemonDaemon
PROCESS-NAME,LemonMonitor
PROCESS-NAME,LemonService
PROCESS-NAME,SOgouTaskManager
PROCESS-NAME,SogouInput
PROCESS-NAME,SogouServices
PROCESS-NAME,TencentLemon
USER-AGENT,AVOS*
USER-AGENT,SogouInput
USER-AGENT,com.sogou.sogouinput.BaseKeyboard
